,label,combined,center,polygon
22,22,"[0.20689655172413793, 0.10344827586206896, 0.065134099616858232, 0.01532567049808429, 0.034482758620689655, 0.019157088122605363, 0.080459770114942528, 0.12643678160919541, 0.27586206896551724, 0.37547892720306514, 0.36781609195402298, 0.34482758620689657, 0.44827586206896552, 0.54406130268199238, 0.55172413793103448, 0.63218390804597702, 0.58620689655172409, 0.6015325670498084, 0.76628352490421459, 0.94252873563218387, 0.77394636015325668, 0.57088122605363989, 0.34482758620689657, 0.27203065134099619, 0.23809523809523808, 0.16190476190476191, 0.066666666666666666, 0.057142857142857141, 0.038095238095238099, 0.047619047619047616, 0.085714285714285715, 0.14285714285714285, 0.2857142857142857, 0.32380952380952382, 0.3619047619047619, 0.61904761904761907, 0.79047619047619044, 0.75238095238095237, 0.7142857142857143, 0.76190476190476186, 0.66666666666666663, 0.69523809523809521, 0.90476190476190477, 1.2, 0.92380952380952386, 0.56190476190476191, 0.44761904761904764, 0.25714285714285712]","(116.41286284083654, 39.911565526431872)","POLYGON ((116.4236074977731 39.90210389348779, 116.4292835839712 39.90856081603575, 116.4294304105422 39.91022466193843, 116.4070586801841 39.92435999387057, 116.4046660924806 39.92378090608534, 116.4019281351872 39.91852883083409, 116.4066920762192 39.90292263905697, 116.4236074977731 39.90210389348779))"
23,23,"[0.045977011494252873, 0.068965517241379309, 0.045977011494252873, 0.019157088122605363, 0.030651340996168581, 0.065134099616858232, 0.068965517241379309, 0.13793103448275862, 0.28735632183908044, 0.27969348659003829, 0.36781609195402298, 0.39846743295019155, 0.43295019157088122, 0.35632183908045978, 0.54406130268199238, 0.46360153256704983, 0.42145593869731801, 0.43295019157088122, 0.47126436781609193, 0.55555555555555558, 0.41762452107279696, 0.41762452107279696, 0.22988505747126436, 0.22988505747126436, 0.21904761904761905, 0.14285714285714285, 0.057142857142857141, 0.028571428571428571, 0.066666666666666666, 0.038095238095238099, 0.066666666666666666, 0.25714285714285712, 0.3619047619047619, 0.3619047619047619, 0.52380952380952384, 0.5714285714285714, 0.65714285714285714, 0.59047619047619049, 0.79047619047619044, 0.79047619047619044, 0.69523809523809521, 0.61904761904761907, 0.69523809523809521, 0.64761904761904765, 0.63809523809523805, 0.48571428571428571, 0.34285714285714286, 0.12380952380952381]","(116.39674644343881, 39.906645840197832)","POLYGON ((116.4066920762192 39.90292263905697, 116.4019281351872 39.91852883083409, 116.3845432183042 39.91152915772997, 116.3795921252678 39.89653606856923, 116.3803351484708 39.89350856129091, 116.3933910917648 39.88722203210535, 116.4066920762192 39.90292263905697))"
24,24,"[0.14559386973180077, 0.038314176245210725, 0.042145593869731802, 0.057471264367816091, 0.038314176245210725, 0.02681992337164751, 0.07662835249042145, 0.1532567049808429, 0.18390804597701149, 0.17624521072796934, 0.16475095785440613, 0.18007662835249041, 0.22988505747126436, 0.25670498084291188, 0.26819923371647508, 0.22605363984674329, 0.21072796934865901, 0.23754789272030652, 0.2988505747126437, 0.35632183908045978, 0.28352490421455939, 0.26053639846743293, 0.21455938697318008, 0.14942528735632185, 0.15238095238095239, 0.085714285714285715, 0.066666666666666666, 0.028571428571428571, 0.028571428571428571, 0.057142857142857141, 0.019047619047619049, 0.085714285714285715, 0.18095238095238095, 0.17142857142857143, 0.19047619047619047, 0.34285714285714286, 0.24761904761904763, 0.20952380952380953, 0.25714285714285712, 0.23809523809523808, 0.27619047619047621, 0.31428571428571428, 0.32380952380952382, 0.37142857142857144, 0.31428571428571428, 0.22857142857142856, 0.2857142857142857, 0.20000000000000001]","(116.35970647210232, 39.897555339131145)","POLYGON ((116.3599226824456 39.87674114032571, 116.3803351484708 39.89350856129091, 116.3795921252678 39.89653606856923, 116.3619133567011 39.90891393475026, 116.3459838194884 39.90533483274847, 116.3452841938858 39.88074055044291, 116.3599226824456 39.87674114032571))"
25,25,"[0.1111111111111111, 0.091954022988505746, 0.038314176245210725, 0.049808429118773943, 0.038314176245210725, 0.034482758620689655, 0.07662835249042145, 0.19923371647509577, 0.24904214559386972, 0.25670498084291188, 0.29118773946360155, 0.25287356321839083, 0.2988505747126437, 0.24521072796934865, 0.23371647509578544, 0.23371647509578544, 0.23371647509578544, 0.22988505747126436, 0.18390804597701149, 0.32950191570881227, 0.32567049808429116, 0.22605363984674329, 0.21455938697318008, 0.21839080459770116, 0.11428571428571428, 0.14285714285714285, 0.066666666666666666, 0.076190476190476197, 0.057142857142857141, 0.028571428571428571, 0.066666666666666666, 0.20000000000000001, 0.23809523809523808, 0.3619047619047619, 0.3619047619047619, 0.31428571428571428, 0.29523809523809524, 0.40000000000000002, 0.3619047619047619, 0.38095238095238093, 0.34285714285714286, 0.33333333333333331, 0.29523809523809524, 0.3619047619047619, 0.25714285714285712, 0.24761904761904763, 0.16190476190476191, 0.24761904761904763]","(116.33184111441311, 39.898348015958319)","POLYGON ((116.3452841938858 39.88074055044291, 116.3459838194884 39.90533483274847, 116.335980610989 39.91701280129493, 116.3228784263065 39.91201347704919, 116.3160247245761 39.88364545459547, 116.3322391432512 39.87501152506925, 116.3452841938858 39.88074055044291))"
26,26,"[0.042145593869731802, 0.034482758620689655, 0.034482758620689655, 0.0038314176245210726, 0.01532567049808429, 0.019157088122605363, 0.034482758620689655, 0.10344827586206896, 0.13409961685823754, 0.15708812260536398, 0.20306513409961685, 0.12643678160919541, 0.18390804597701149, 0.21072796934865901, 0.24521072796934865, 0.21455938697318008, 0.21839080459770116, 0.1417624521072797, 0.22222222222222221, 0.24904214559386972, 0.20689655172413793, 0.18007662835249041, 0.11494252873563218, 0.053639846743295021, 0.16190476190476191, 0.028571428571428571, 0.047619047619047616, 0.0095238095238095247, 0.057142857142857141, 0.066666666666666666, 0.019047619047619049, 0.047619047619047616, 0.10476190476190476, 0.16190476190476191, 0.2857142857142857, 0.17142857142857143, 0.21904761904761905, 0.19047619047619047, 0.34285714285714286, 0.2857142857142857, 0.21904761904761905, 0.20952380952380953, 0.23809523809523808, 0.20000000000000001, 0.21904761904761905, 0.21904761904761905, 0.13333333333333333, 0.057142857142857141]","(116.3086653753724, 39.903947264303056)","POLYGON ((116.3160247245761 39.88364545459547, 116.3228784263065 39.91201347704919, 116.3059651491506 39.92024682954147, 116.2979348051705 39.90965334377817, 116.3064590900204 39.88272890770909, 116.3160247245761 39.88364545459547))"
27,27,"[0.13793103448275862, 0.07662835249042145, 0.038314176245210725, 0.011494252873563218, 0.011494252873563218, 0.0076628352490421452, 0.045977011494252873, 0.16091954022988506, 0.18390804597701149, 0.21072796934865901, 0.22222222222222221, 0.16091954022988506, 0.20689655172413793, 0.17241379310344829, 0.26053639846743293, 0.28352490421455939, 0.28352490421455939, 0.31034482758620691, 0.33333333333333331, 0.42911877394636017, 0.42911877394636017, 0.35249042145593867, 0.30268199233716475, 0.19923371647509577, 0.18095238095238095, 0.10476190476190476, 0.047619047619047616, 0.057142857142857141, 0.0095238095238095247, 0.047619047619047616, 0.038095238095238099, 0.085714285714285715, 0.14285714285714285, 0.18095238095238095, 0.17142857142857143, 0.18095238095238095, 0.25714285714285712, 0.21904761904761905, 0.25714285714285712, 0.22857142857142856, 0.20952380952380953, 0.33333333333333331, 0.51428571428571423, 0.67619047619047623, 0.66666666666666663, 0.51428571428571423, 0.35238095238095241, 0.27619047619047621]","(116.28954214036618, 39.918443546125957)","POLYGON ((116.2979348051705 39.90965334377817, 116.3059651491506 39.92024682954147, 116.3023574880008 39.9317075924014, 116.2575621106934 39.94980116654886, 116.2661359636523 39.90495415817913, 116.2979348051705 39.90965334377817))"
28,28,"[0.20689655172413793, 0.1417624521072797, 0.11494252873563218, 0.080459770114942528, 0.045977011494252873, 0.045977011494252873, 0.034482758620689655, 0.080459770114942528, 0.15708812260536398, 0.13026819923371646, 0.19157088122605365, 0.21072796934865901, 0.1532567049808429, 0.21839080459770116, 0.20306513409961685, 0.23754789272030652, 0.19923371647509577, 0.21072796934865901, 0.2413793103448276, 0.21455938697318008, 0.16475095785440613, 0.27969348659003829, 0.23754789272030652, 0.24904214559386972, 0.21904761904761905, 0.095238095238095233, 0.076190476190476197, 0.085714285714285715, 0.057142857142857141, 0.066666666666666666, 0.0095238095238095247, 0.047619047619047616, 0.11428571428571428, 0.13333333333333333, 0.11428571428571428, 0.13333333333333333, 0.19047619047619047, 0.23809523809523808, 0.40000000000000002, 0.26666666666666666, 0.23809523809523808, 0.24761904761904763, 0.24761904761904763, 0.33333333333333331, 0.2857142857142857, 0.22857142857142856, 0.30476190476190479, 0.30476190476190479]","(116.50827304089499, 39.901135197038421)","POLYGON ((116.5500792933014 39.85492920604418, 116.516892962246 39.91282435804759, 116.5077002062586 39.91501714388762, 116.4967422797673 39.90576926383813, 116.5023632610724 39.88516226712109, 116.5500792933014 39.85492920604418))"
29,29,"[0.2413793103448276, 0.18007662835249041, 0.091954022988505746, 0.084291187739463605, 0.057471264367816091, 0.022988505747126436, 0.045977011494252873, 0.1532567049808429, 0.21072796934865901, 0.20689655172413793, 0.24904214559386972, 0.22605363984674329, 0.23371647509578544, 0.28352490421455939, 0.23754789272030652, 0.26053639846743293, 0.24904214559386972, 0.31034482758620691, 0.40996168582375481, 0.51340996168582376, 0.45593869731800768, 0.48275862068965519, 0.42145593869731801, 0.3065134099616858, 0.24761904761904763, 0.23809523809523808, 0.19047619047619047, 0.047619047619047616, 0.047619047619047616, 0.038095238095238099, 0.057142857142857141, 0.057142857142857141, 0.10476190476190476, 0.19047619047619047, 0.24761904761904763, 0.33333333333333331, 0.32380952380952382, 0.30476190476190479, 0.3619047619047619, 0.3619047619047619, 0.21904761904761905, 0.40000000000000002, 0.41904761904761906, 0.43809523809523809, 0.33333333333333331, 0.35238095238095241, 0.22857142857142856, 0.18095238095238095]","(116.49411197366028, 39.917914819283268)","POLYGON ((116.4967422797673 39.90576926383813, 116.5077002062586 39.91501714388762, 116.4978243299205 39.93680531324746, 116.4937007810007 39.93618525422463, 116.4807492267884 39.92259527335391, 116.4806172276288 39.9158933953503, 116.4898461863474 39.90732153210501, 116.4967422797673 39.90576926383813))"
30,30,"[0.10727969348659004, 0.045977011494252873, 0.034482758620689655, 0.01532567049808429, 0.01532567049808429, 0.011494252873563218, 0.02681992337164751, 0.019157088122605363, 0.10344827586206896, 0.12643678160919541, 0.13026819923371646, 0.13409961685823754, 0.20689655172413793, 0.13793103448275862, 0.18773946360153257, 0.1417624521072797, 0.13026819923371646, 0.22605363984674329, 0.27586206896551724, 0.28735632183908044, 0.27969348659003829, 0.18007662835249041, 0.13409961685823754, 0.10727969348659004, 0.14285714285714285, 0.057142857142857141, 0.066666666666666666, 0.019047619047619049, 0.0095238095238095247, 0.0, 0.028571428571428571, 0.019047619047619049, 0.095238095238095233, 0.11428571428571428, 0.10476190476190476, 0.15238095238095239, 0.085714285714285715, 0.11428571428571428, 0.15238095238095239, 0.22857142857142856, 0.14285714285714285, 0.10476190476190476, 0.20952380952380953, 0.24761904761904763, 0.23809523809523808, 0.23809523809523808, 0.14285714285714285, 0.21904761904761905]","(116.4672125439058, 39.918444626319314)","POLYGON ((116.4746094375532 39.91128903230446, 116.4806172276288 39.9158933953503, 116.4807492267884 39.92259527335391, 116.4683623583468 39.92848945758251, 116.4595788757472 39.9184347404373, 116.4629205564382 39.91420010283937, 116.4746094375532 39.91128903230446))"
31,31,"[0.11494252873563218, 0.080459770114942528, 0.030651340996168581, 0.02681992337164751, 0.0076628352490421452, 0.030651340996168581, 0.019157088122605363, 0.022988505747126436, 0.10344827586206896, 0.13026819923371646, 0.10727969348659004, 0.16091954022988506, 0.23754789272030652, 0.2988505747126437, 0.27969348659003829, 0.23371647509578544, 0.23371647509578544, 0.22222222222222221, 0.32950191570881227, 0.37547892720306514, 0.31800766283524906, 0.2950191570881226, 0.18773946360153257, 0.1417624521072797, 0.19047619047619047, 0.057142857142857141, 0.028571428571428571, 0.066666666666666666, 0.019047619047619049, 0.019047619047619049, 0.057142857142857141, 0.0095238095238095247, 0.028571428571428571, 0.10476190476190476, 0.11428571428571428, 0.17142857142857143, 0.27619047619047621, 0.24761904761904763, 0.23809523809523808, 0.26666666666666666, 0.38095238095238093, 0.29523809523809524, 0.24761904761904763, 0.34285714285714286, 0.30476190476190479, 0.27619047619047621, 0.20952380952380953, 0.13333333333333333]","(116.45856307588673, 39.926000527767755)","POLYGON ((116.4595788757472 39.9184347404373, 116.4683623583468 39.92848945758251, 116.4657172590434 39.93308132648203, 116.4651617120999 39.93322198344292, 116.4536129032759 39.93040122355627, 116.4520006084282 39.92975536119209, 116.4508693968739 39.91888136832654, 116.4595788757472 39.9184347404373))"
32,32,"[0.7816091954022989, 0.5977011494252874, 0.47509578544061304, 0.26819923371647508, 0.1111111111111111, 0.061302681992337162, 0.045977011494252873, 0.1417624521072797, 0.15708812260536398, 0.3065134099616858, 0.31800766283524906, 0.37547892720306514, 0.51724137931034486, 0.65900383141762453, 0.80842911877394641, 0.62068965517241381, 0.66666666666666663, 0.71264367816091956, 1.0842911877394636, 1.4942528735632183, 1.2068965517241379, 1.1954022988505748, 1.2605363984674329, 1.2413793103448276, 1.3809523809523809, 1.0761904761904761, 0.61904761904761907, 0.3619047619047619, 0.22857142857142856, 0.10476190476190476, 0.047619047619047616, 0.095238095238095233, 0.16190476190476191, 0.20952380952380953, 0.40952380952380951, 0.59999999999999998, 0.51428571428571423, 0.97142857142857142, 0.93333333333333335, 1.1523809523809523, 0.80952380952380953, 0.83809523809523812, 1.1142857142857143, 1.4380952380952381, 1.180952380952381, 1.3999999999999999, 1.4095238095238096, 1.2857142857142858]","(116.44480579913171, 39.927431684713916)","POLYGON ((116.4508693968739 39.91888136832654, 116.4520006084282 39.92975536119209, 116.4387416418948 39.94270867489293, 116.4307764511027 39.94433716449074, 116.4339904175232 39.91732698240013, 116.4501799686727 39.91833598246795, 116.4508693968739 39.91888136832654))"
33,33,"[0.23371647509578544, 0.16858237547892721, 0.099616858237547887, 0.057471264367816091, 0.053639846743295021, 0.030651340996168581, 0.053639846743295021, 0.091954022988505746, 0.17624521072796934, 0.27969348659003829, 0.25670498084291188, 0.34482758620689657, 0.33716475095785442, 0.30268199233716475, 0.28735632183908044, 0.32567049808429116, 0.2988505747126437, 0.31800766283524906, 0.56704980842911878, 0.72796934865900387, 0.55555555555555558, 0.51340996168582376, 0.37164750957854409, 0.31417624521072796, 0.31428571428571428, 0.15238095238095239, 0.10476190476190476, 0.047619047619047616, 0.085714285714285715, 0.047619047619047616, 0.047619047619047616, 0.028571428571428571, 0.066666666666666666, 0.16190476190476191, 0.22857142857142856, 0.20952380952380953, 0.31428571428571428, 0.35238095238095241, 0.34285714285714286, 0.61904761904761907, 0.42857142857142855, 0.44761904761904764, 0.55238095238095242, 0.77142857142857146, 0.53333333333333333, 0.3619047619047619, 0.34285714285714286, 0.29523809523809524]","(116.42110586383235, 39.924611607605129)","POLYGON ((116.4339904175232 39.91732698240013, 116.4307764511027 39.94433716449074, 116.4281505820704 39.94691376487567, 116.4070586801841 39.92435999387057, 116.4294304105422 39.91022466193843, 116.4339904175232 39.91732698240013))"
34,34,"[0.038314176245210725, 0.011494252873563218, 0.0038314176245210726, 0.0076628352490421452, 0.011494252873563218, 0.0, 0.022988505747126436, 0.01532567049808429, 0.061302681992337162, 0.10344827586206896, 0.084291187739463605, 0.088122605363984668, 0.091954022988505746, 0.12260536398467432, 0.18773946360153257, 0.099616858237547887, 0.13793103448275862, 0.13026819923371646, 0.091954022988505746, 0.095785440613026823, 0.084291187739463605, 0.091954022988505746, 0.057471264367816091, 0.049808429118773943, 0.019047619047619049, 0.028571428571428571, 0.0, 0.0, 0.0095238095238095247, 0.019047619047619049, 0.0095238095238095247, 0.019047619047619049, 0.019047619047619049, 0.085714285714285715, 0.20000000000000001, 0.15238095238095239, 0.18095238095238095, 0.22857142857142856, 0.25714285714285712, 0.18095238095238095, 0.30476190476190479, 0.22857142857142856, 0.13333333333333333, 0.12380952380952381, 0.12380952380952381, 0.066666666666666666, 0.076190476190476197, 0.085714285714285715]","(116.38995804641579, 39.923506015845867)","POLYGON ((116.3845432183042 39.91152915772997, 116.4019281351872 39.91852883083409, 116.4046660924806 39.92378090608534, 116.3973503566832 39.93184619092355, 116.3881451700233 39.93545482552605, 116.3799796879985 39.92111131993143, 116.3845432183042 39.91152915772997))"
35,35,"[0.049808429118773943, 0.045977011494252873, 0.022988505747126436, 0.01532567049808429, 0.011494252873563218, 0.011494252873563218, 0.022988505747126436, 0.068965517241379309, 0.11494252873563218, 0.12260536398467432, 0.19540229885057472, 0.19923371647509577, 0.25670498084291188, 0.37931034482758619, 0.35249042145593867, 0.41762452107279696, 0.29118773946360155, 0.3946360153256705, 0.53256704980842917, 0.5977011494252874, 0.49808429118773945, 0.44444444444444442, 0.2413793103448276, 0.18390804597701149, 0.066666666666666666, 0.057142857142857141, 0.047619047619047616, 0.0095238095238095247, 0.019047619047619049, 0.038095238095238099, 0.038095238095238099, 0.076190476190476197, 0.12380952380952381, 0.23809523809523808, 0.27619047619047621, 0.47619047619047616, 0.47619047619047616, 0.8666666666666667, 0.62857142857142856, 0.50476190476190474, 0.43809523809523809, 0.64761904761904765, 0.65714285714285714, 0.66666666666666663, 0.56190476190476191, 0.35238095238095241, 0.24761904761904763, 0.095238095238095233]","(116.37183172059567, 39.914873304828255)","POLYGON ((116.3795921252678 39.89653606856923, 116.3845432183042 39.91152915772997, 116.3799796879985 39.92111131993143, 116.3652979861469 39.92579146028625, 116.3619133567011 39.90891393475026, 116.3795921252678 39.89653606856923))"
36,36,"[0.084291187739463605, 0.034482758620689655, 0.02681992337164751, 0.02681992337164751, 0.034482758620689655, 0.01532567049808429, 0.045977011494252873, 0.10344827586206896, 0.21839080459770116, 0.22605363984674329, 0.19540229885057472, 0.21839080459770116, 0.2413793103448276, 0.17624521072796934, 0.24521072796934865, 0.26436781609195403, 0.21455938697318008, 0.26819923371647508, 0.29118773946360155, 0.27969348659003829, 0.21072796934865901, 0.19923371647509577, 0.16858237547892721, 0.1417624521072797, 0.12380952380952381, 0.057142857142857141, 0.0, 0.076190476190476197, 0.019047619047619049, 0.0, 0.047619047619047616, 0.047619047619047616, 0.057142857142857141, 0.16190476190476191, 0.23809523809523808, 0.25714285714285712, 0.15238095238095239, 0.2857142857142857, 0.26666666666666666, 0.32380952380952382, 0.2857142857142857, 0.31428571428571428, 0.27619047619047621, 0.22857142857142856, 0.21904761904761905, 0.21904761904761905, 0.18095238095238095, 0.16190476190476191]","(116.35505969711662, 39.918236776826085)","POLYGON ((116.3619133567011 39.90891393475026, 116.3652979861469 39.92579146028625, 116.3612485960767 39.93278212135534, 116.3397225100451 39.93003896724932, 116.335980610989 39.91701280129493, 116.3459838194884 39.90533483274847, 116.3619133567011 39.90891393475026))"
37,37,"[0.11494252873563218, 0.049808429118773943, 0.057471264367816091, 0.0076628352490421452, 0.0076628352490421452, 0.011494252873563218, 0.07662835249042145, 0.099616858237547887, 0.11494252873563218, 0.22222222222222221, 0.19923371647509577, 0.17624521072796934, 0.22605363984674329, 0.23754789272030652, 0.25287356321839083, 0.15708812260536398, 0.22988505747126436, 0.22988505747126436, 0.20306513409961685, 0.23754789272030652, 0.26436781609195403, 0.21072796934865901, 0.22605363984674329, 0.16858237547892721, 0.066666666666666666, 0.13333333333333333, 0.057142857142857141, 0.0095238095238095247, 0.019047619047619049, 0.0, 0.019047619047619049, 0.085714285714285715, 0.13333333333333333, 0.13333333333333333, 0.22857142857142856, 0.33333333333333331, 0.33333333333333331, 0.23809523809523808, 0.40952380952380951, 0.41904761904761906, 0.32380952380952382, 0.31428571428571428, 0.32380952380952382, 0.23809523809523808, 0.20952380952380953, 0.11428571428571428, 0.20952380952380953, 0.10476190476190476]","(116.32045984871448, 39.928175936247989)","POLYGON ((116.335980610989 39.91701280129493, 116.3397225100451 39.93003896724932, 116.3360517309556 39.93671227015076, 116.3209862073725 39.94706004326839, 116.3023574880008 39.9317075924014, 116.3059651491506 39.92024682954147, 116.3228784263065 39.91201347704919, 116.335980610989 39.91701280129493))"
38,38,"[0.26819923371647508, 0.14942528735632185, 0.091954022988505746, 0.065134099616858232, 0.038314176245210725, 0.022988505747126436, 0.065134099616858232, 0.17241379310344829, 0.22605363984674329, 0.24521072796934865, 0.21455938697318008, 0.28352490421455939, 0.2950191570881226, 0.32567049808429116, 0.35249042145593867, 0.27203065134099619, 0.27203065134099619, 0.26819923371647508, 0.47126436781609193, 0.51340996168582376, 0.31417624521072796, 0.2988505747126437, 0.34099616858237547, 0.3065134099616858, 0.30476190476190479, 0.10476190476190476, 0.11428571428571428, 0.095238095238095233, 0.047619047619047616, 0.0095238095238095247, 0.057142857142857141, 0.11428571428571428, 0.34285714285714286, 0.32380952380952382, 0.3619047619047619, 0.42857142857142855, 0.51428571428571423, 0.41904761904761906, 0.48571428571428571, 0.20952380952380953, 0.33333333333333331, 0.40952380952380951, 0.33333333333333331, 0.5714285714285714, 0.41904761904761906, 0.38095238095238093, 0.32380952380952382, 0.40000000000000002]","(116.30234938687499, 39.950151236102315)","POLYGON ((116.3209862073725 39.94706004326839, 116.320696190898 39.94956420223009, 116.305260037756 39.96419559694797, 116.2867640283837 39.9723269505554, 116.2686708427411 39.97769000487181, 116.2386583955879 39.97861699420611, 116.2575621106934 39.94980116654886, 116.3023574880008 39.9317075924014, 116.3209862073725 39.94706004326839))"
39,39,"[0.24521072796934865, 0.13026819923371646, 0.053639846743295021, 0.042145593869731802, 0.049808429118773943, 0.065134099616858232, 0.088122605363984668, 0.19157088122605365, 0.25287356321839083, 0.26053639846743293, 0.23754789272030652, 0.25670498084291188, 0.24904214559386972, 0.22605363984674329, 0.2950191570881226, 0.24904214559386972, 0.22988505747126436, 0.21839080459770116, 0.27969348659003829, 0.3946360153256705, 0.33333333333333331, 0.25287356321839083, 0.25670498084291188, 0.33333333333333331, 0.21904761904761905, 0.12380952380952381, 0.085714285714285715, 0.076190476190476197, 0.047619047619047616, 0.066666666666666666, 0.066666666666666666, 0.066666666666666666, 0.23809523809523808, 0.33333333333333331, 0.3619047619047619, 0.33333333333333331, 0.29523809523809524, 0.37142857142857144, 0.37142857142857144, 0.46666666666666667, 0.32380952380952382, 0.32380952380952382, 0.24761904761904763, 0.18095238095238095, 0.37142857142857144, 0.40952380952380951, 0.20952380952380953, 0.20952380952380953]","(116.53133582585875, 39.914355115984684)","POLYGON ((116.5511234446424 39.85389684388463, 116.5653264587551 39.94021036689678, 116.5194969714975 39.91625647921587, 116.516892962246 39.91282435804759, 116.5500792933014 39.85492920604418, 116.5511234446424 39.85389684388463))"
40,40,"[0.26436781609195403, 0.22988505747126436, 0.12260536398467432, 0.088122605363984668, 0.088122605363984668, 0.068965517241379309, 0.049808429118773943, 0.065134099616858232, 0.13793103448275862, 0.17241379310344829, 0.17241379310344829, 0.22605363984674329, 0.17624521072796934, 0.23754789272030652, 0.17624521072796934, 0.24904214559386972, 0.25287356321839083, 0.22988505747126436, 0.27203065134099619, 0.34865900383141762, 0.43678160919540232, 0.34865900383141762, 0.35249042145593867, 0.31800766283524906, 0.3619047619047619, 0.25714285714285712, 0.14285714285714285, 0.085714285714285715, 0.12380952380952381, 0.057142857142857141, 0.057142857142857141, 0.028571428571428571, 0.13333333333333333, 0.17142857142857143, 0.17142857142857143, 0.31428571428571428, 0.24761904761904763, 0.45714285714285713, 0.38095238095238093, 0.38095238095238093, 0.40000000000000002, 0.38095238095238093, 0.44761904761904764, 0.47619047619047616, 0.53333333333333333, 0.49523809523809526, 0.29523809523809524, 0.3619047619047619]","(116.51447746693763, 39.927145842314637)","POLYGON ((116.5194969714975 39.91625647921587, 116.519839759919 39.95810464091688, 116.4978243299205 39.93680531324746, 116.5077002062586 39.91501714388762, 116.516892962246 39.91282435804759, 116.5194969714975 39.91625647921587))"
41,41,"[0.12260536398467432, 0.07662835249042145, 0.045977011494252873, 0.080459770114942528, 0.057471264367816091, 0.022988505747126436, 0.045977011494252873, 0.061302681992337162, 0.12643678160919541, 0.095785440613026823, 0.10727969348659004, 0.12260536398467432, 0.14559386973180077, 0.13409961685823754, 0.13409961685823754, 0.1417624521072797, 0.13026819923371646, 0.18007662835249041, 0.19923371647509577, 0.28352490421455939, 0.23371647509578544, 0.23754789272030652, 0.17624521072796934, 0.22222222222222221, 0.10476190476190476, 0.095238095238095233, 0.066666666666666666, 0.066666666666666666, 0.076190476190476197, 0.047619047619047616, 0.038095238095238099, 0.057142857142857141, 0.066666666666666666, 0.12380952380952381, 0.23809523809523808, 0.2857142857142857, 0.31428571428571428, 0.35238095238095241, 0.3619047619047619, 0.26666666666666666, 0.17142857142857143, 0.37142857142857144, 0.38095238095238093, 0.38095238095238093, 0.29523809523809524, 0.26666666666666666, 0.31428571428571428, 0.19047619047619047]","(116.47543170585686, 39.935717530225823)","POLYGON ((116.4807492267884 39.92259527335391, 116.4937007810007 39.93618525422463, 116.4750405738547 39.94992256981903, 116.4657172590434 39.93308132648203, 116.4683623583468 39.92848945758251, 116.4807492267884 39.92259527335391))"
42,42,"[0.16091954022988506, 0.11877394636015326, 0.045977011494252873, 0.0076628352490421452, 0.019157088122605363, 0.022988505747126436, 0.0076628352490421452, 0.022988505747126436, 0.034482758620689655, 0.072796934865900387, 0.07662835249042145, 0.084291187739463605, 0.16858237547892721, 0.2413793103448276, 0.26436781609195403, 0.25670498084291188, 0.22988505747126436, 0.26053639846743293, 0.29118773946360155, 0.55938697318007657, 0.54022988505747127, 0.45593869731800768, 0.38314176245210729, 0.2950191570881226, 0.27619047619047621, 0.095238095238095233, 0.076190476190476197, 0.028571428571428571, 0.0095238095238095247, 0.12380952380952381, 0.0, 0.0095238095238095247, 0.057142857142857141, 0.038095238095238099, 0.076190476190476197, 0.085714285714285715, 0.24761904761904763, 0.22857142857142856, 0.41904761904761906, 0.40952380952380951, 0.40952380952380951, 0.45714285714285713, 0.50476190476190474, 0.54285714285714282, 0.48571428571428571, 0.42857142857142855, 0.41904761904761906, 0.31428571428571428]","(116.45597701901261, 39.936588411050074)","POLYGON ((116.4651617120999 39.93322198344292, 116.4564567100906 39.94291117663552, 116.4536129032759 39.93040122355627, 116.4651617120999 39.93322198344292))"
43,43,"[0.41379310344827586, 0.26053639846743293, 0.15708812260536398, 0.061302681992337162, 0.053639846743295021, 0.02681992337164751, 0.045977011494252873, 0.022988505747126436, 0.061302681992337162, 0.099616858237547887, 0.16091954022988506, 0.21072796934865901, 0.22605363984674329, 0.36781609195402298, 0.42911877394636017, 0.39080459770114945, 0.35632183908045978, 0.39080459770114945, 0.50191570881226055, 0.71264367816091956, 0.82375478927203061, 0.92337164750957856, 0.69731800766283525, 0.63218390804597702, 0.63809523809523805, 0.41904761904761906, 0.20952380952380953, 0.14285714285714285, 0.076190476190476197, 0.057142857142857141, 0.038095238095238099, 0.028571428571428571, 0.047619047619047616, 0.12380952380952381, 0.14285714285714285, 0.31428571428571428, 0.40952380952380951, 0.7142857142857143, 0.66666666666666663, 0.59047619047619049, 0.77142857142857146, 0.55238095238095242, 0.83809523809523812, 0.75238095238095237, 0.96190476190476193, 0.84761904761904761, 0.80952380952380953, 0.72380952380952379]","(116.45415588325828, 39.937002398075911)","POLYGON ((116.4536129032759 39.93040122355627, 116.4564567100906 39.94291117663552, 116.4543151212479 39.94615059461557, 116.4387416418948 39.94270867489293, 116.4520006084282 39.92975536119209, 116.4536129032759 39.93040122355627))"
