,numeric,alpha3,name,gdp,population,name_deu
184,654,SHN,"Saint,Helena,,Ascension,and,Tristan,da,Cunha",#NV,#NV,Saint Helena  Ascension and Tristan da Cunha
185,659,KNA,"Saint,Kitts,and,Nevis",#NV,#NV,Saint Kitts and Nevis
186,662,LCA,"Saint,Lucia",1405794281,183645,Saint Lucia
187,663,MAF,"Saint,Martin,(French,part)",#NV,#NV,Saint Martin (French part)
188,666,SPM,"Saint,Pierre,and,Miquelon",#NV,#NV,Saint Pierre and Miquelon
189,670,VCT,"Saint,Vincent,and,the,Grenadines",7.293093844E8,109360,Saint Vincent and the Grenadines
190,882,WSM,Samoa,8.237238147E8,191845,Samoa
191,674,SMR,"San,Marino",1844924701,31595,San Marino
192,678,STP,"Sao,Tome,and,Principe",3.374134772E8,186342,Sao Tome and Principe
193,682,SAU,"Saudi,Arabia",7.5246E11,30886545,Saudi Arabia
194,686,SEN,Senegal,15658083145,14672557,Senegal
195,688,SRB,Serbia,43866419448,7127137,Serbia
196,690,SYC,Seychelles,1510749016,95868,Seychelles
197,694,SLE,"Sierra,Leone",4893299323,6315627,Sierra Leone
198,702,SGP,Singapore,3.07872E11,5506586,Singapore
199,534,SXM,"Sint,Maarten,(Dutch,part)",1058659218,37696,Sint Maarten (Dutch part)
200,703,SVK,Slovakia,1.00249E11,5422861,Slovakia
201,705,SVN,Slovenia,49491440620,2066068,Slovenia
202,90,SLB,"Solomon,Islands",1102683983,572171,Solomon Islands
203,706,SOM,Somalia,1374625108,10517569,Somalia
204,710,ZAF,"South,Africa",3.49819E11,53969054,South Africa
205,239,SGS,"South,Georgia,and,the,South,Sandwich,Islands",#NV,#NV,South Georgia and the South Sandwich Islands
206,728,SSD,"South,Sudan",11006755458,11911184,South Sudan
207,724,ESP,Spain,1.38134E12,46259716,Spain
208,144,LKA,"Sri,Lanka",74941145474,20618991,Sri Lanka
209,729,SDN,Sudan,81893873233,39350274,Sudan
210,740,SUR,Suriname,5210344242,538248,Suriname
211,744,SJM,"Svalbard,and,Jan,Mayen",#NV,#NV,Svalbard and Jan Mayen
212,748,SWZ,Swaziland,4482250123,1269112,Swaziland
213,752,SWE,Sweden,5.7109E11,9703247,Sweden
214,756,CHE,Switzerland,7.01037E11,8211383,Switzerland
215,760,SYR,"Syrian,Arab,Republic",34184127956,18772481,Syrian Arab Republic
216,158,TWN,"Taiwan,,Province,of,China",#NV,#NV,Taiwan  Province of China
217,762,TJK,Tajikistan,9241627841,8295840,Tajikistan
218,834,TZA,"Tanzania,,United,Republic,of",48030400639,50443621,Tanzania  United Republic of
219,764,THA,Thailand,4.04824E11,67725979,Thailand
220,626,TLS,Timor-Leste,4969775094,1157360,Timor-Leste
221,768,TGO,Togo,4575764718,7115163,Togo
222,772,TKL,Tokelau,#NV,#NV,Tokelau
223,776,TON,Tonga,4.351913863E8,105586,Tonga
224,780,TTO,"Trinidad,and,Tobago",28068547186,1354483,Trinidad and Tobago
225,788,TUN,Tunisia,47423435127,11130154,Tunisia
226,792,TUR,Turkey,7.98414E11,77523788,Turkey
227,795,TKM,Turkmenistan,47931929825,5307188,Turkmenistan
228,796,TCA,"Turks,and,Caicos,Islands",796759000,33740,Turks and Caicos Islands
229,798,TUV,Tuvalu,3.755372047E7,9893,Tuvalu
230,800,UGA,Uganda,27464535495,37782971,Uganda
231,804,UKR,Ukraine,1.31806E11,45002497,Ukraine
232,784,ARE,"United,Arab,Emirates",3.99451E11,9086139,United Arab Emirates
233,826,GBR,"United,Kingdom",2.98889E12,64331348,United Kingdom
234,840,USA,"United,States",1.73481E13,319448634,United States
235,581,UMI,"United,States,Minor,Outlying,Islands",#NV,#NV,United States Minor Outlying Islands
236,858,URY,Uruguay,57471202066,3419516,Uruguay
237,860,UZB,Uzbekistan,63029684684,29469913,Uzbekistan
238,548,VUT,Vanuatu,8.122456154E8,258883,Vanuatu
239,862,VEN,"Venezuela,,Bolivarian,Republic,of",5.09968E11,30693827,Venezuela  Bolivarian Republic of
240,704,VNM,"Viet,Nam",1.86205E11,92423338,Viet Nam
241,92,VGB,"Virgin,Islands,,British",902386167,29585,Virgin Islands  British
242,850,VIR,"Virgin,Islands,,U.S.",#NV,#NV,Virgin Islands  U.S.
243,876,WLF,"Wallis,and,Futuna",#NV,#NV,Wallis and Futuna
244,732,ESH,"Western,Sahara",#NV,#NV,Western Sahara
245,887,YEM,Yemen,37130520973,26183676,Yemen
246,894,ZMB,Zambia,26963357469,15721343,Zambia
247,716,ZWE,Zimbabwe,14719366527,15245855,Zimbabwe
248,248,ALA,"Åland,Islands",#NV,#NV,Åland Islands
